sample-id,absolute-filepath,direction
OM9,/PHShome/xy090/Male/Exp5.2/SRR5991581_1.fastq,forward
OM10,/PHShome/xy090/Male/Exp5.2/SRR5991589_1.fastq,forward
OM11,/PHShome/xy090/Male/Exp5.2/SRR5991590_1.fastq,forward
OM12,/PHShome/xy090/Male/Exp5.2/SRR5991591_1.fastq,forward
OM13,/PHShome/xy090/Male/Exp5.2/SRR5991592_1.fastq,forward
OM14,/PHShome/xy090/Male/Exp5.2/SRR5991593_1.fastq,forward
OM15,/PHShome/xy090/Male/Exp5.2/SRR5991594_1.fastq,forward
OM16,/PHShome/xy090/Male/Exp5.2/SRR5991595_1.fastq,forward
OM17,/PHShome/xy090/Male/Exp5.2/SRR5991596_1.fastq,forward
OM18,/PHShome/xy090/Male/Exp5.2/SRR5991601_1.fastq,forward
OM19,/PHShome/xy090/Male/Exp5.2/SRR5991615_1.fastq,forward
OM20,/PHShome/xy090/Male/Exp5.2/SRR5991617_1.fastq,forward
OM21,/PHShome/xy090/Male/Exp5.2/SRR5991618_1.fastq,forward
OM22,/PHShome/xy090/Male/Exp5.2/SRR5991619_1.fastq,forward
OM23,/PHShome/xy090/Male/Exp5.2/SRR5991622_1.fastq,forward
OM24,/PHShome/xy090/Male/Exp5.2/SRR5991623_1.fastq,forward
OM25,/PHShome/xy090/Male/Exp5.2/SRR5991624_1.fastq,forward
OM26,/PHShome/xy090/Male/Exp5.2/SRR5991627_1.fastq,forward
OM27,/PHShome/xy090/Male/Exp5.2/SRR5991628_1.fastq,forward
OM28,/PHShome/xy090/Male/Exp5.2/SRR5991629_1.fastq,forward
OM29,/PHShome/xy090/Male/Exp5.2/SRR5991630_1.fastq,forward
OM30,/PHShome/xy090/Male/Exp5.2/SRR5991631_1.fastq,forward
OM31,/PHShome/xy090/Male/Exp5.2/SRR5991632_1.fastq,forward
OM32,/PHShome/xy090/Male/Exp5.2/SRR5991633_1.fastq,forward
OM33,/PHShome/xy090/Male/Exp5.2/SRR5991634_1.fastq,forward
OM34,/PHShome/xy090/Male/Exp5.2/SRR5991635_1.fastq,forward
OM35,/PHShome/xy090/Male/Exp5.2/SRR5991636_1.fastq,forward
YM9,/PHShome/xy090/Male/Exp5.2/SRR5991578_2.fastq,reverse
YM10,/PHShome/xy090/Male/Exp5.2/SRR5991579_2.fastq,reverse
YM11,/PHShome/xy090/Male/Exp5.2/SRR5991580_2.fastq,reverse
YM12,/PHShome/xy090/Male/Exp5.2/SRR5991582_2.fastq,reverse
YM13,/PHShome/xy090/Male/Exp5.2/SRR5991583_2.fastq,reverse
YM14,/PHShome/xy090/Male/Exp5.2/SRR5991584_2.fastq,reverse
YM15,/PHShome/xy090/Male/Exp5.2/SRR5991585_2.fastq,reverse
YM16,/PHShome/xy090/Male/Exp5.2/SRR5991586_2.fastq,reverse
YM17,/PHShome/xy090/Male/Exp5.2/SRR5991587_2.fastq,reverse
YM18,/PHShome/xy090/Male/Exp5.2/SRR5991588_2.fastq,reverse
YM19,/PHShome/xy090/Male/Exp5.2/SRR5991597_2.fastq,reverse
YM20,/PHShome/xy090/Male/Exp5.2/SRR5991598_2.fastq,reverse
YM21,/PHShome/xy090/Male/Exp5.2/SRR5991599_2.fastq,reverse
YM22,/PHShome/xy090/Male/Exp5.2/SRR5991600_2.fastq,reverse
YM23,/PHShome/xy090/Male/Exp5.2/SRR5991602_2.fastq,reverse
YM24,/PHShome/xy090/Male/Exp5.2/SRR5991603_2.fastq,reverse
YM25,/PHShome/xy090/Male/Exp5.2/SRR5991604_2.fastq,reverse
YM26,/PHShome/xy090/Male/Exp5.2/SRR5991605_2.fastq,reverse
YM27,/PHShome/xy090/Male/Exp5.2/SRR5991606_2.fastq,reverse
YM28,/PHShome/xy090/Male/Exp5.2/SRR5991607_2.fastq,reverse
YM29,/PHShome/xy090/Male/Exp5.2/SRR5991608_2.fastq,reverse
YM30,/PHShome/xy090/Male/Exp5.2/SRR5991609_2.fastq,reverse
YM31,/PHShome/xy090/Male/Exp5.2/SRR5991610_2.fastq,reverse
YM32,/PHShome/xy090/Male/Exp5.2/SRR5991611_2.fastq,reverse
YM33,/PHShome/xy090/Male/Exp5.2/SRR5991612_2.fastq,reverse
YM34,/PHShome/xy090/Male/Exp5.2/SRR5991613_2.fastq,reverse
YM35,/PHShome/xy090/Male/Exp5.2/SRR5991614_2.fastq,reverse
YM36,/PHShome/xy090/Male/Exp5.2/SRR5991621_2.fastq,reverse
YM37,/PHShome/xy090/Male/Exp5.2/SRR5991625_2.fastq,reverse
YM38,/PHShome/xy090/Male/Exp5.2/SRR5991626_2.fastq,reverse
YM39,/PHShome/xy090/Male/Exp5.2/SRR5991637_2.fastq,reverse
YM40,/PHShome/xy090/Male/Exp5.2/SRR5991638_2.fastq,reverse
YM41,/PHShome/xy090/Male/Exp5.2/SRR5991639_2.fastq,reverse
YM42,/PHShome/xy090/Male/Exp5.2/SRR5991640_2.fastq,reverse
YM43,/PHShome/xy090/Male/Exp5.2/SRR5991641_2.fastq,reverse
YM44,/PHShome/xy090/Male/Exp5.2/SRR5991642_2.fastq,reverse
YM45,/PHShome/xy090/Male/Exp5.2/SRR5991643_2.fastq,reverse
YM46,/PHShome/xy090/Male/Exp5.2/SRR5991645_2.fastq,reverse
OM9,/PHShome/xy090/Male/Exp5.2/SRR5991581_2.fastq,reverse
OM10,/PHShome/xy090/Male/Exp5.2/SRR5991589_2.fastq,reverse
OM11,/PHShome/xy090/Male/Exp5.2/SRR5991590_2.fastq,reverse
OM12,/PHShome/xy090/Male/Exp5.2/SRR5991591_2.fastq,reverse
OM13,/PHShome/xy090/Male/Exp5.2/SRR5991592_2.fastq,reverse
OM14,/PHShome/xy090/Male/Exp5.2/SRR5991593_2.fastq,reverse
OM15,/PHShome/xy090/Male/Exp5.2/SRR5991594_2.fastq,reverse
OM16,/PHShome/xy090/Male/Exp5.2/SRR5991595_2.fastq,reverse
OM17,/PHShome/xy090/Male/Exp5.2/SRR5991596_2.fastq,reverse
OM18,/PHShome/xy090/Male/Exp5.2/SRR5991601_2.fastq,reverse
OM19,/PHShome/xy090/Male/Exp5.2/SRR5991615_2.fastq,reverse
OM20,/PHShome/xy090/Male/Exp5.2/SRR5991617_2.fastq,reverse
OM21,/PHShome/xy090/Male/Exp5.2/SRR5991618_2.fastq,reverse
OM22,/PHShome/xy090/Male/Exp5.2/SRR5991619_2.fastq,reverse
OM23,/PHShome/xy090/Male/Exp5.2/SRR5991622_2.fastq,reverse
OM24,/PHShome/xy090/Male/Exp5.2/SRR5991623_2.fastq,reverse
OM25,/PHShome/xy090/Male/Exp5.2/SRR5991624_2.fastq,reverse
OM26,/PHShome/xy090/Male/Exp5.2/SRR5991627_2.fastq,reverse
OM27,/PHShome/xy090/Male/Exp5.2/SRR5991628_2.fastq,reverse
OM28,/PHShome/xy090/Male/Exp5.2/SRR5991629_2.fastq,reverse
OM29,/PHShome/xy090/Male/Exp5.2/SRR5991630_2.fastq,reverse
OM30,/PHShome/xy090/Male/Exp5.2/SRR5991631_2.fastq,reverse
OM31,/PHShome/xy090/Male/Exp5.2/SRR5991632_2.fastq,reverse
OM32,/PHShome/xy090/Male/Exp5.2/SRR5991633_2.fastq,reverse
OM33,/PHShome/xy090/Male/Exp5.2/SRR5991634_2.fastq,reverse
OM34,/PHShome/xy090/Male/Exp5.2/SRR5991635_2.fastq,reverse
OM35,/PHShome/xy090/Male/Exp5.2/SRR5991636_2.fastq,reverse
