sample-id,absolute-filepath,direction
YM9,/PHShome/xy090/Male/Exp5.2/SRR5991578_1.fastq,forward
YM10,/PHShome/xy090/Male/Exp5.2/SRR5991579_1.fastq,forward
YM11,/PHShome/xy090/Male/Exp5.2/SRR5991580_1.fastq,forward
YM12,/PHShome/xy090/Male/Exp5.2/SRR5991582_1.fastq,forward
YM13,/PHShome/xy090/Male/Exp5.2/SRR5991583_1.fastq,forward
YM14,/PHShome/xy090/Male/Exp5.2/SRR5991584_1.fastq,forward
YM15,/PHShome/xy090/Male/Exp5.2/SRR5991585_1.fastq,forward
YM16,/PHShome/xy090/Male/Exp5.2/SRR5991586_1.fastq,forward
YM17,/PHShome/xy090/Male/Exp5.2/SRR5991587_1.fastq,forward
YM18,/PHShome/xy090/Male/Exp5.2/SRR5991588_1.fastq,forward
YM19,/PHShome/xy090/Male/Exp5.2/SRR5991597_1.fastq,forward
YM20,/PHShome/xy090/Male/Exp5.2/SRR5991598_1.fastq,forward
YM21,/PHShome/xy090/Male/Exp5.2/SRR5991599_1.fastq,forward
YM22,/PHShome/xy090/Male/Exp5.2/SRR5991600_1.fastq,forward
YM23,/PHShome/xy090/Male/Exp5.2/SRR5991602_1.fastq,forward
YM24,/PHShome/xy090/Male/Exp5.2/SRR5991603_1.fastq,forward
YM25,/PHShome/xy090/Male/Exp5.2/SRR5991604_1.fastq,forward
YM26,/PHShome/xy090/Male/Exp5.2/SRR5991605_1.fastq,forward
YM27,/PHShome/xy090/Male/Exp5.2/SRR5991606_1.fastq,forward
YM28,/PHShome/xy090/Male/Exp5.2/SRR5991607_1.fastq,forward
YM29,/PHShome/xy090/Male/Exp5.2/SRR5991608_1.fastq,forward
YM30,/PHShome/xy090/Male/Exp5.2/SRR5991609_1.fastq,forward
YM31,/PHShome/xy090/Male/Exp5.2/SRR5991610_1.fastq,forward
YM32,/PHShome/xy090/Male/Exp5.2/SRR5991611_1.fastq,forward
YM33,/PHShome/xy090/Male/Exp5.2/SRR5991612_1.fastq,forward
YM34,/PHShome/xy090/Male/Exp5.2/SRR5991613_1.fastq,forward
YM35,/PHShome/xy090/Male/Exp5.2/SRR5991614_1.fastq,forward
YM36,/PHShome/xy090/Male/Exp5.2/SRR5991621_1.fastq,forward
YM37,/PHShome/xy090/Male/Exp5.2/SRR5991625_1.fastq,forward
YM38,/PHShome/xy090/Male/Exp5.2/SRR5991626_1.fastq,forward
YM39,/PHShome/xy090/Male/Exp5.2/SRR5991637_1.fastq,forward
YM40,/PHShome/xy090/Male/Exp5.2/SRR5991638_1.fastq,forward
YM41,/PHShome/xy090/Male/Exp5.2/SRR5991639_1.fastq,forward
YM42,/PHShome/xy090/Male/Exp5.2/SRR5991640_1.fastq,forward
YM43,/PHShome/xy090/Male/Exp5.2/SRR5991641_1.fastq,forward
YM44,/PHShome/xy090/Male/Exp5.2/SRR5991642_1.fastq,forward
YM45,/PHShome/xy090/Male/Exp5.2/SRR5991643_1.fastq,forward
YM46,/PHShome/xy090/Male/Exp5.2/SRR5991645_1.fastq,forward
